Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,45.177502,45.222500,43.325001,44.522499,44.220127,86898800
2019-04-29,44.602501,46.217499,43.875000,45.752499,45.441765,184062800
2019-05-06,43.875000,45.084999,41.000000,42.205002,41.918373,262631200
2019-05-13,40.875000,41.107498,38.735001,39.132500,38.866734,348726800
2019-05-20,38.137501,38.924999,36.220001,36.287498,36.041050,220920800
2019-05-27,36.465000,36.794998,33.847500,33.865002,33.635002,177217600
2019-06-03,33.977501,36.720001,33.150002,36.375000,36.169189,238909200
2019-06-10,36.939999,38.090000,35.709999,36.160000,35.955418,184805200
2019-06-17,36.142502,39.332500,35.912498,37.939999,37.725342,197420000
2019-06-24,38.154999,41.342499,37.680000,41.057499,40.825207,202199600
2019-07-01,43.142502,43.487499,39.419998,40.057499,39.830864,175317200
2019-07-08,39.457500,42.617500,38.750000,41.902500,41.665421,231367600
2019-07-15,42.115002,43.177502,41.209999,42.110001,41.871742,176657600
2019-07-22,42.325001,44.722500,42.250000,43.767502,43.519871,177721200
2019-07-29,43.695000,43.985001,39.820000,40.297501,40.069504,165490800
2019-08-05,38.450001,39.577499,37.224998,38.544998,38.326920,197410400
2019-08-12,38.020000,40.384998,36.847500,39.889999,39.664310,253619600
2019-08-19,41.029999,43.362499,40.410000,40.610001,40.380230,257708800
2019-08-26,41.402500,42.715000,39.750000,41.877499,41.640568,151338000
2019-09-02,41.145000,45.272499,40.812500,44.662498,44.453766,159652000
2019-09-09,44.974998,47.099998,44.697498,45.485001,45.272427,178428000
2019-09-16,44.730000,45.400002,43.070000,43.172501,42.970726,130875200
2019-09-23,43.174999,44.755001,42.330002,42.939999,42.739323,147203200
2019-09-30,43.200001,45.787498,42.532501,45.492500,45.279896,156167600
2019-10-07,46.145000,47.334999,44.125000,46.497501,46.280193,197336000
2019-10-14,46.410000,49.822498,46.097500,47.622501,47.399937,186398400
2019-10-21,48.240002,51.345001,47.757500,51.134998,50.896015,152561600
2019-10-28,51.575001,52.224998,49.452499,50.647499,50.410797,124136000
2019-11-04,51.462502,52.924999,51.027500,51.945000,51.702229,141603600
2019-11-11,51.937500,52.965000,50.160000,51.047501,50.808929,239883600
2019-11-18,50.972500,53.637501,50.942501,52.722500,52.476101,197422800
2019-11-25,54.009998,55.352501,53.880001,54.185001,53.931767,124906000
2019-12-02,54.115002,54.250000,50.092499,53.042500,52.833557,152781200
2019-12-09,52.812500,57.244999,52.724998,55.997501,55.776917,156111600
2019-12-16,56.474998,60.097500,56.192501,59.842499,59.606773,203412400
2019-12-23,60.130001,60.452499,58.952499,59.217499,58.984230,93142000
2019-12-30,58.997501,59.977501,57.532501,59.017502,58.785023,93198000
2020-01-06,58.080002,62.137501,57.817501,61.080002,60.839401,142600800
2020-01-13,61.915001,63.247501,61.132500,62.320000,62.074516,148001600
2020-01-20,61.952499,64.875000,61.642502,62.619999,62.373325,107518400
2020-01-27,59.560001,62.317501,58.057499,59.107498,58.874668,170128400
2020-02-03,58.924999,63.562500,58.862499,62.897499,62.649742,114336400
2020-02-10,63.125000,73.742500,63.075001,72.447502,72.162125,311274800
2020-02-17,71.410004,79.080002,71.214996,73.517502,73.227905,289272800
2020-02-24,67.547501,70.467499,60.447498,67.517502,67.251564,469981200
2020-03-02,69.224998,71.222504,64.500000,66.510002,66.287628,319668400
2020-03-09,59.974998,65.269997,53.950001,60.209999,60.008694,314614800
2020-03-16,53.102501,57.580002,45.169998,51.437500,51.265526,400502000
2020-03-23,51.427502,65.779999,49.630001,63.182499,62.971249,387388800
2020-03-30,63.840000,68.849998,59.597500,60.977501,60.773628,354810000
2020-04-06,63.810001,69.562500,63.232498,65.737503,65.517738,258041200
2020-04-13,65.137497,74.750000,64.250000,73.080002,72.835670,258024400
2020-04-20,71.809998,73.375000,66.777496,72.397499,72.155457,244439200
2020-04-27,73.747498,76.050003,70.209999,70.695000,70.458633,201946400
2020-05-04,70.220001,78.187500,70.220001,78.125000,77.863792,172286400
2020-05-11,78.074997,85.004997,75.947502,84.907501,84.623627,317794400
2020-05-18,87.605003,90.930000,86.805000,90.262497,89.960701,387914800
2020-05-25,91.567497,91.817497,79.967499,88.754997,88.458260,342682400
2020-06-01,88.332497,89.970001,86.580002,89.199997,88.901764,205266400
2020-06-08,88.772499,95.000000,86.857498,89.324997,89.066986,264296400
2020-06-15,88.152496,94.449997,87.437500,92.612503,92.345001,212259200
2020-06-22,93.000000,96.425003,91.250000,91.550003,91.285561,219110400
2020-06-29,91.697502,97.375000,89.000000,96.122498,95.844841,140084400
2020-07-06,97.417503,106.552498,97.125000,104.792503,104.489815,203139600
2020-07-13,105.949997,107.922501,97.855003,102.014999,101.720329,201498400
2020-07-20,102.742500,106.025002,97.769997,101.945000,101.650528,181413200
2020-07-27,102.322502,107.665001,102.092499,106.147499,105.840897,154323600
2020-08-03,107.324997,115.047501,107.152496,111.995003,111.671494,155981200
2020-08-10,113.342499,117.217499,107.957497,115.639999,115.305969,198761600
2020-08-17,118.512497,128.087494,118.172501,126.834999,126.468636,366862800
2020-08-24,128.837494,131.479996,125.074997,131.477493,131.097748,195564800
2020-08-31,131.827499,147.267502,117.047501,126.224998,125.860390,429498000
2020-09-07,117.345001,130.652496,117.042503,121.644997,121.329910,286754000
2020-09-14,130.809998,133.149994,119.887497,121.892502,121.576767,397665600
2020-09-21,119.250000,128.835007,119.044998,128.737503,128.404053,333376400
2020-09-28,130.402496,137.627502,127.500000,130.622498,130.284180,296195200
2020-10-05,132.360001,141.419998,132.227493,137.627502,137.271042,240811600
2020-10-12,139.895004,143.485001,137.677505,138.115005,137.757233,156506400
2020-10-19,139.029999,139.835007,132.317505,135.902496,135.550461,127084000
2020-10-26,134.270004,136.927505,123.000000,125.339996,125.015358,170083600
2020-11-02,126.577499,145.887497,123.949997,145.619995,145.242813,168515600
2020-11-09,145.524994,146.914993,126.282501,132.970001,132.625595,234391200
2020-11-16,131.725006,136.494995,130.649994,130.877502,130.538483,214375200
2020-11-23,131.712494,134.074997,128.850006,132.612503,132.269012,113504800
2020-11-30,132.649994,136.735001,129.722504,135.582504,135.231308,126902400
2020-12-07,136.012497,137.312500,128.229996,130.132507,129.833771,131349200
2020-12-14,130.880005,134.639999,130.705002,132.720001,132.415344,125973600
2020-12-21,130.747498,133.699997,129.387497,129.937500,129.639206,76494000
