Category: All categories

Week,Interest
2023-04-23,48
2023-04-30,50
2023-05-07,45
2023-05-14,49
2023-05-21,48
2023-05-28,50
2023-06-04,70
2023-06-11,50
2023-06-18,50
2023-06-25,51
2023-07-02,67
2023-07-09,74
2023-07-16,73
2023-07-23,74
2023-07-30,73
2023-08-06,72
2023-08-13,70
2023-08-20,69
2023-08-27,68
2023-09-03,70
2023-09-10,98
2023-09-17,82
2023-09-24,82
2023-10-01,72
2023-10-08,71
2023-10-15,70
2023-10-22,68
2023-10-29,70
2023-11-05,73
2023-11-12,72
2023-11-19,98
2023-11-26,100
2023-12-03,76
2023-12-10,78
2023-12-17,83
2023-12-24,99
2023-12-31,79
2024-01-07,69
2024-01-14,69
2024-01-21,72
2024-01-28,76
2024-02-04,83
2024-02-11,71
2024-02-18,73
2024-02-25,70
2024-03-03,67
2024-03-10,67
2024-03-17,70
2024-03-24,65
2024-03-31,67
2024-04-07,66
2024-04-14,64
2024-04-21,67
