Category: All categories

Week,Interest
2019-04-21,26
2019-04-28,26
2019-05-05,27
2019-05-12,29
2019-05-19,28
2019-05-26,28
2019-06-02,36
2019-06-09,29
2019-06-16,29
2019-06-23,30
2019-06-30,28
2019-07-07,29
2019-07-14,31
2019-07-21,29
2019-07-28,30
2019-08-04,29
2019-08-11,30
2019-08-18,31
2019-08-25,53
2019-09-01,100
2019-09-08,92
2019-09-15,76
2019-09-22,59
2019-09-29,33
2019-10-06,33
2019-10-13,31
2019-10-20,31
2019-10-27,36
2019-11-03,35
2019-11-10,38
2019-11-17,36
2019-11-24,52
2019-12-01,42
2019-12-08,37
2019-12-15,40
2019-12-22,52
2019-12-29,37
2020-01-05,33
2020-01-12,30
2020-01-19,30
2020-01-26,30
2020-02-02,28
2020-02-09,28
2020-02-16,27
2020-02-23,27
2020-03-01,29
2020-03-08,28
2020-03-15,30
2020-03-22,29
2020-03-29,27
2020-04-05,27
2020-04-12,31
2020-04-19,29
2020-04-26,29
2020-05-03,31
2020-05-10,30
2020-05-17,32
2020-05-24,32
2020-05-31,31
2020-06-07,31
2020-06-14,34
2020-06-21,36
2020-06-28,33
2020-07-05,34
2020-07-12,37
2020-07-19,34
2020-07-26,36
2020-08-02,38
2020-08-09,36
2020-08-16,35
2020-08-23,36
2020-08-30,38
2020-09-06,33
2020-09-13,41
2020-09-20,36
2020-09-27,32
2020-10-04,30
2020-10-11,43
2020-10-18,33
2020-10-25,32
2020-11-01,26
2020-11-08,34
2020-11-15,35
2020-11-22,38
2020-11-29,41
2020-12-06,33
2020-12-13,34
2020-12-20,40
2020-12-27,37
2021-01-03,32
2021-01-10,32
2021-01-17,28
2021-01-24,31
2021-01-31,29
2021-02-07,25
2021-02-14,20
2021-02-21,22
2021-02-28,22
2021-03-07,20
2021-03-14,22
2021-03-21,22
2021-03-28,21
2021-04-04,20
2021-04-11,20
2021-04-18,25
2021-04-25,23
2021-05-02,21
2021-05-09,21
2021-05-16,21
2021-05-23,21
2021-05-30,21
2021-06-06,24
2021-06-13,24
2021-06-20,22
2021-06-27,22
2021-07-04,23
2021-07-11,23
2021-07-18,22
2021-07-25,22
2021-08-01,22
2021-08-08,21
2021-08-15,21
2021-08-22,21
2021-08-29,22
2021-09-05,24
2021-09-12,34
2021-09-19,28
2021-09-26,25
2021-10-03,25
2021-10-10,26
2021-10-17,29
2021-10-24,30
2021-10-31,26
2021-11-07,27
2021-11-14,30
2021-11-21,37
2021-11-28,34
2021-12-05,28
2021-12-12,29
2021-12-19,32
2021-12-26,31
2022-01-02,31
2022-01-09,28
2022-01-16,25
2022-01-23,32
2022-01-30,28
2022-02-06,28
2022-02-13,28
2022-02-20,26
2022-02-27,27
2022-03-06,28
2022-03-13,26
2022-03-20,24
2022-03-27,24
2022-04-03,29
2022-04-10,30
2022-04-17,29
2022-04-24,27
2022-05-01,27
2022-05-08,27
2022-05-15,27
2022-05-22,28
2022-05-29,28
2022-06-05,33
2022-06-12,28
2022-06-19,29
2022-06-26,29
2022-07-03,29
2022-07-10,33
2022-07-17,30
2022-07-24,30
2022-07-31,30
2022-08-07,30
2022-08-14,32
2022-08-21,30
2022-08-28,29
2022-09-04,39
2022-09-11,35
2022-09-18,34
2022-09-25,31
2022-10-02,31
2022-10-09,29
2022-10-16,31
2022-10-23,29
2022-10-30,30
2022-11-06,27
2022-11-13,29
2022-11-20,36
2022-11-27,39
2022-12-04,30
2022-12-11,29
2022-12-18,31
2022-12-25,40
2023-01-01,31
2023-01-08,29
2023-01-15,31
2023-01-22,30
2023-01-29,30
2023-02-05,28
2023-02-12,28
2023-02-19,27
2023-02-26,27
2023-03-05,26
2023-03-12,24
2023-03-19,23
2023-03-26,24
2023-04-02,24
2023-04-09,22
2023-04-16,27
2023-04-23,25
2023-04-30,26
2023-05-07,23
2023-05-14,25
2023-05-21,25
2023-05-28,26
2023-06-04,37
2023-06-11,26
2023-06-18,26
2023-06-25,26
2023-07-02,36
2023-07-09,39
2023-07-16,38
2023-07-23,38
2023-07-30,37
2023-08-06,37
2023-08-13,36
2023-08-20,35
2023-08-27,35
2023-09-03,35
2023-09-10,50
2023-09-17,41
2023-09-24,42
2023-10-01,37
2023-10-08,38
2023-10-15,35
2023-10-22,36
2023-10-29,36
2023-11-05,37
2023-11-12,39
2023-11-19,49
2023-11-26,50
2023-12-03,39
2023-12-10,39
2023-12-17,42
2023-12-24,50
2023-12-31,40
2024-01-07,38
2024-01-14,36
2024-01-21,36
2024-01-28,39
2024-02-04,40
2024-02-11,36
2024-02-18,37
2024-02-25,36
2024-03-03,36
2024-03-10,32
2024-03-17,36
2024-03-24,33
2024-03-31,35
2024-04-07,33
2024-04-14,34
2024-04-21,33
