Category: All categories

Week,Interest
2023-04-23,18
2023-04-30,18
2023-05-07,18
2023-05-14,21
2023-05-21,45
2023-05-28,43
2023-06-04,29
2023-06-11,31
2023-06-18,24
2023-06-25,27
2023-07-02,22
2023-07-09,27
2023-07-16,26
2023-07-23,24
2023-07-30,25
2023-08-06,26
2023-08-13,27
2023-08-20,53
2023-08-27,31
2023-09-03,27
2023-09-10,25
2023-09-17,23
2023-09-24,23
2023-10-01,21
2023-10-08,24
2023-10-15,25
2023-10-22,25
2023-10-29,24
2023-11-05,25
2023-11-12,28
2023-11-19,40
2023-11-26,30
2023-12-03,29
2023-12-10,28
2023-12-17,29
2023-12-24,29
2023-12-31,26
2024-01-07,35
2024-01-14,32
2024-01-21,38
2024-01-28,35
2024-02-04,43
2024-02-11,46
2024-02-18,100
2024-02-25,57
2024-03-03,61
2024-03-10,56
2024-03-17,63
2024-03-24,44
2024-03-31,39
2024-04-07,34
2024-04-14,37
2024-04-21,39
