Category: All categories

Week,Interest
2019-04-21,10
2019-04-28,11
2019-05-05,11
2019-05-12,13
2019-05-19,12
2019-05-26,13
2019-06-02,12
2019-06-09,12
2019-06-16,13
2019-06-23,12
2019-06-30,13
2019-07-07,13
2019-07-14,13
2019-07-21,12
2019-07-28,11
2019-08-04,12
2019-08-11,13
2019-08-18,14
2019-08-25,12
2019-09-01,10
2019-09-08,11
2019-09-15,11
2019-09-22,10
2019-09-29,10
2019-10-06,10
2019-10-13,10
2019-10-20,13
2019-10-27,14
2019-11-03,14
2019-11-10,14
2019-11-17,14
2019-11-24,16
2019-12-01,14
2019-12-08,12
2019-12-15,13
2019-12-22,13
2019-12-29,11
2020-01-05,13
2020-01-12,13
2020-01-19,12
2020-01-26,12
2020-02-02,13
2020-02-09,15
2020-02-16,15
2020-02-23,15
2020-03-01,14
2020-03-08,14
2020-03-15,15
2020-03-22,15
2020-03-29,14
2020-04-05,14
2020-04-12,16
2020-04-19,17
2020-04-26,16
2020-05-03,15
2020-05-10,18
2020-05-17,19
2020-05-24,16
2020-05-31,14
2020-06-07,16
2020-06-14,14
2020-06-21,15
2020-06-28,14
2020-07-05,17
2020-07-12,17
2020-07-19,16
2020-07-26,16
2020-08-02,17
2020-08-09,17
2020-08-16,22
2020-08-23,18
2020-08-30,44
2020-09-06,27
2020-09-13,40
2020-09-20,26
2020-09-27,22
2020-10-04,21
2020-10-11,19
2020-10-18,16
2020-10-25,19
2020-11-01,14
2020-11-08,19
2020-11-15,20
2020-11-22,19
2020-11-29,22
2020-12-06,21
2020-12-13,19
2020-12-20,18
2020-12-27,18
2021-01-03,18
2021-01-10,19
2021-01-17,16
2021-01-24,17
2021-01-31,16
2021-02-07,18
2021-02-14,16
2021-02-21,18
2021-02-28,15
2021-03-07,13
2021-03-14,15
2021-03-21,14
2021-03-28,14
2021-04-04,12
2021-04-11,16
2021-04-18,15
2021-04-25,14
2021-05-02,12
2021-05-09,13
2021-05-16,15
2021-05-23,16
2021-05-30,17
2021-06-06,15
2021-06-13,15
2021-06-20,16
2021-06-27,16
2021-07-04,15
2021-07-11,16
2021-07-18,22
2021-07-25,15
2021-08-01,12
2021-08-08,13
2021-08-15,14
2021-08-22,15
2021-08-29,13
2021-09-05,11
2021-09-12,11
2021-09-19,11
2021-09-26,11
2021-10-03,12
2021-10-10,10
2021-10-17,11
2021-10-24,15
2021-10-31,19
2021-11-07,19
2021-11-14,24
2021-11-21,17
2021-11-28,19
2021-12-05,19
2021-12-12,20
2021-12-19,18
2021-12-26,19
2022-01-02,25
2022-01-09,22
2022-01-16,19
2022-01-23,20
2022-01-30,19
2022-02-06,23
2022-02-13,30
2022-02-20,27
2022-02-27,25
2022-03-06,22
2022-03-13,22
2022-03-20,26
2022-03-27,25
2022-04-03,23
2022-04-10,24
2022-04-17,24
2022-04-24,22
2022-05-01,20
2022-05-08,23
2022-05-15,21
2022-05-22,23
2022-05-29,19
2022-06-05,20
2022-06-12,24
2022-06-19,23
2022-06-26,22
2022-07-03,21
2022-07-10,23
2022-07-17,29
2022-07-24,26
2022-07-31,24
2022-08-07,26
2022-08-14,22
2022-08-21,22
2022-08-28,23
2022-09-04,18
2022-09-11,19
2022-09-18,28
2022-09-25,19
2022-10-02,18
2022-10-09,20
2022-10-16,19
2022-10-23,20
2022-10-30,22
2022-11-06,22
2022-11-13,24
2022-11-20,22
2022-11-27,20
2022-12-04,19
2022-12-11,20
2022-12-18,18
2022-12-25,20
2023-01-01,19
2023-01-08,18
2023-01-15,18
2023-01-22,19
2023-01-29,20
2023-02-05,21
2023-02-12,20
2023-02-19,22
2023-02-26,20
2023-03-05,19
2023-03-12,20
2023-03-19,23
2023-03-26,19
2023-04-02,18
2023-04-09,18
2023-04-16,19
2023-04-23,18
2023-04-30,18
2023-05-07,17
2023-05-14,20
2023-05-21,48
2023-05-28,42
2023-06-04,28
2023-06-11,30
2023-06-18,24
2023-06-25,26
2023-07-02,21
2023-07-09,26
2023-07-16,26
2023-07-23,25
2023-07-30,24
2023-08-06,27
2023-08-13,26
2023-08-20,53
2023-08-27,30
2023-09-03,26
2023-09-10,24
2023-09-17,24
2023-09-24,25
2023-10-01,22
2023-10-08,23
2023-10-15,25
2023-10-22,24
2023-10-29,24
2023-11-05,25
2023-11-12,26
2023-11-19,39
2023-11-26,28
2023-12-03,29
2023-12-10,27
2023-12-17,29
2023-12-24,28
2023-12-31,25
2024-01-07,33
2024-01-14,31
2024-01-21,39
2024-01-28,35
2024-02-04,41
2024-02-11,45
2024-02-18,100
2024-02-25,58
2024-03-03,60
2024-03-10,56
2024-03-17,61
2024-03-24,44
2024-03-31,39
2024-04-07,34
2024-04-14,37
2024-04-21,39
