Category: All categories

Week,Interest
2019-04-21,52
2019-04-28,45
2019-05-05,41
2019-05-12,42
2019-05-19,50
2019-05-26,44
2019-06-02,49
2019-06-09,44
2019-06-16,42
2019-06-23,39
2019-06-30,41
2019-07-07,37
2019-07-14,39
2019-07-21,44
2019-07-28,39
2019-08-04,36
2019-08-11,33
2019-08-18,37
2019-08-25,34
2019-09-01,28
2019-09-08,31
2019-09-15,28
2019-09-22,31
2019-09-29,34
2019-10-06,29
2019-10-13,30
2019-10-20,40
2019-10-27,32
2019-11-03,30
2019-11-10,30
2019-11-17,100
2019-11-24,85
2019-12-01,46
2019-12-08,38
2019-12-15,40
2019-12-22,49
2019-12-29,42
2020-01-05,42
2020-01-12,44
2020-01-19,44
2020-01-26,48
2020-02-02,97
2020-02-09,53
2020-02-16,52
2020-02-23,55
2020-03-01,47
2020-03-08,49
2020-03-15,49
2020-03-22,40
2020-03-29,32
2020-04-05,29
2020-04-12,33
2020-04-19,30
2020-04-26,46
2020-05-03,38
2020-05-10,45
2020-05-17,35
2020-05-24,42
2020-05-31,38
2020-06-07,54
2020-06-14,47
2020-06-21,44
2020-06-28,46
2020-07-05,58
2020-07-12,60
2020-07-19,65
2020-07-26,45
2020-08-02,42
2020-08-09,52
2020-08-16,67
2020-08-23,65
2020-08-30,98
2020-09-06,74
2020-09-13,62
2020-09-20,83
2020-09-27,58
2020-10-04,49
2020-10-11,54
2020-10-18,60
2020-10-25,46
2020-11-01,38
2020-11-08,43
2020-11-15,60
2020-11-22,61
2020-11-29,59
2020-12-06,66
2020-12-13,71
2020-12-20,70
2020-12-27,65
2021-01-03,79
2021-01-10,72
2021-01-17,61
2021-01-24,82
2021-01-31,71
2021-02-07,65
2021-02-14,61
2021-02-21,74
2021-02-28,70
2021-03-07,69
2021-03-14,59
2021-03-21,59
2021-03-28,58
2021-04-04,61
2021-04-11,56
2021-04-18,63
2021-04-25,58
2021-05-02,50
2021-05-09,62
2021-05-16,58
2021-05-23,52
2021-05-30,50
2021-06-06,50
2021-06-13,50
2021-06-20,59
2021-06-27,56
2021-07-04,55
2021-07-11,55
2021-07-18,54
2021-07-25,59
2021-08-01,54
2021-08-08,49
2021-08-15,53
2021-08-22,48
2021-08-29,48
2021-09-05,51
2021-09-12,50
2021-09-19,50
2021-09-26,55
2021-10-03,52
2021-10-10,55
2021-10-17,64
2021-10-24,89
2021-10-31,78
2021-11-07,85
2021-11-14,71
2021-11-21,65
2021-11-28,61
2021-12-05,61
2021-12-12,62
2021-12-19,63
2021-12-26,65
2022-01-02,70
2022-01-09,60
2022-01-16,52
2022-01-23,69
2022-01-30,59
2022-02-06,58
2022-02-13,59
2022-02-20,65
2022-02-27,63
2022-03-06,87
2022-03-13,76
2022-03-20,78
2022-03-27,76
2022-04-03,73
2022-04-10,69
2022-04-17,78
2022-04-24,85
2022-05-01,64
2022-05-08,70
2022-05-15,75
2022-05-22,73
2022-05-29,72
2022-06-05,73
2022-06-12,75
2022-06-19,71
2022-06-26,68
2022-07-03,61
2022-07-10,60
2022-07-17,69
2022-07-24,60
2022-07-31,66
2022-08-07,66
2022-08-14,63
2022-08-21,70
2022-08-28,59
2022-09-04,54
2022-09-11,53
2022-09-18,53
2022-09-25,52
2022-10-02,47
2022-10-09,47
2022-10-16,53
2022-10-23,47
2022-10-30,48
2022-11-06,52
2022-11-13,49
2022-11-20,49
2022-11-27,48
2022-12-04,47
2022-12-11,58
2022-12-18,71
2022-12-25,74
2023-01-01,72
2023-01-08,73
2023-01-15,77
2023-01-22,75
2023-01-29,71
2023-02-05,68
2023-02-12,66
2023-02-19,61
2023-02-26,70
2023-03-05,63
2023-03-12,56
2023-03-19,59
2023-03-26,58
2023-04-02,64
2023-04-09,61
2023-04-16,74
2023-04-23,65
2023-04-30,59
2023-05-07,59
2023-05-14,63
2023-05-21,59
2023-05-28,63
2023-06-04,69
2023-06-11,71
2023-06-18,69
2023-06-25,70
2023-07-02,67
2023-07-09,64
2023-07-16,85
2023-07-23,75
2023-07-30,66
2023-08-06,61
2023-08-13,64
2023-08-20,63
2023-08-27,70
2023-09-03,64
2023-09-10,65
2023-09-17,62
2023-09-24,60
2023-10-01,61
2023-10-08,59
2023-10-15,68
2023-10-22,59
2023-10-29,59
2023-11-05,57
2023-11-12,59
2023-11-19,56
2023-11-26,70
2023-12-03,64
2023-12-10,73
2023-12-17,62
2023-12-24,67
2023-12-31,57
2024-01-07,57
2024-01-14,60
2024-01-21,62
2024-01-28,57
2024-02-04,61
2024-02-11,56
2024-02-18,55
2024-02-25,58
2024-03-03,60
2024-03-10,61
2024-03-17,62
2024-03-24,65
2024-03-31,73
2024-04-07,66
2024-04-14,78
2024-04-21,91
