Category: All categories

Day,Nvidia: (United States)
2023-10-19,14
2023-10-20,14
2023-10-21,10
2023-10-22,10
2023-10-23,14
2023-10-24,15
2023-10-25,15
2023-10-26,16
2023-10-27,15
2023-10-28,10
2023-10-29,10
2023-10-30,13
2023-10-31,15
2023-11-01,15
2023-11-02,15
2023-11-03,16
2023-11-04,12
2023-11-05,10
2023-11-06,15
2023-11-07,15
2023-11-08,14
2023-11-09,16
2023-11-10,15
2023-11-11,11
2023-11-12,11
2023-11-13,16
2023-11-14,18
2023-11-15,19
2023-11-16,17
2023-11-17,17
2023-11-18,12
2023-11-19,13
2023-11-20,20
2023-11-21,30
2023-11-22,31
2023-11-23,16
2023-11-24,19
2023-11-25,14
2023-11-26,13
2023-11-27,18
2023-11-28,19
2023-11-29,16
2023-11-30,17
2023-12-01,16
2023-12-02,12
2023-12-03,11
2023-12-04,16
2023-12-05,17
2023-12-06,17
2023-12-07,16
2023-12-08,17
2023-12-09,14
2023-12-10,12
2023-12-11,16
2023-12-12,16
2023-12-13,17
2023-12-14,17
2023-12-15,17
2023-12-16,12
2023-12-17,13
2023-12-18,17
2023-12-19,17
2023-12-20,17
2023-12-21,16
2023-12-22,17
2023-12-23,15
2023-12-24,12
2023-12-25,14
2023-12-26,18
2023-12-27,18
2023-12-28,18
2023-12-29,16
2023-12-30,12
2023-12-31,12
2024-01-01,11
2024-01-02,15
2024-01-03,16
2024-01-04,15
2024-01-05,15
2024-01-06,12
2024-01-07,13
2024-01-08,20
2024-01-09,23
2024-01-10,22
2024-01-11,21
2024-01-12,18
2024-01-13,12
2024-01-14,11
2024-01-15,12
2024-01-16,19
2024-01-17,19
2024-01-18,21
2024-01-19,21
2024-01-20,15
2024-01-21,14
2024-01-22,21
2024-01-23,21
2024-01-24,27
2024-01-25,25
2024-01-26,21
2024-01-27,14
2024-01-28,12
2024-01-29,19
2024-01-30,21
2024-01-31,21
2024-02-01,20
2024-02-02,24
2024-02-03,16
2024-02-04,13
2024-02-05,23
2024-02-06,25
2024-02-07,24
2024-02-08,24
2024-02-09,26
2024-02-10,20
2024-02-11,15
2024-02-12,24
2024-02-13,30
2024-02-14,28
2024-02-15,30
2024-02-16,30
2024-02-17,18
2024-02-18,17
2024-02-19,20
2024-02-20,39
2024-02-21,96
2024-02-22,100
2024-02-23,76
2024-02-24,37
2024-02-25,27
2024-02-26,35
2024-02-27,33
2024-02-28,30
2024-02-29,30
2024-03-01,31
2024-03-02,23
2024-03-03,19
2024-03-04,33
2024-03-05,31
2024-03-06,28
2024-03-07,35
2024-03-08,47
2024-03-09,26
2024-03-10,20
2024-03-11,32
2024-03-12,34
2024-03-13,35
2024-03-14,29
2024-03-15,30
2024-03-16,20
2024-03-17,17
2024-03-18,41
2024-03-19,48
2024-03-20,36
2024-03-21,33
2024-03-22,33
2024-03-23,20
2024-03-24,18
2024-03-25,29
2024-03-26,29
2024-03-27,28
2024-03-28,25
2024-03-29,19
2024-03-30,13
2024-03-31,13
2024-04-01,26
2024-04-02,24
2024-04-03,26
2024-04-04,24
2024-04-05,23
2024-04-06,15
2024-04-07,13
2024-04-08,19
2024-04-09,22
2024-04-10,23
2024-04-11,22
2024-04-12,22
2024-04-13,13
2024-04-14,12
2024-04-15,21
2024-04-16,21
2024-04-17,22
2024-04-18,21
2024-04-19,23
