Date,Open,High,Low,Close,Adj Close,Volume
2023-10-18,5.560000,5.560000,5.000000,5.040000,5.040000,1763400
2023-10-19,5.070000,5.160000,4.380000,4.460000,4.460000,4460600
2023-10-20,4.470000,4.470000,3.790000,3.800000,3.800000,5705400
2023-10-23,3.750000,3.830000,3.425000,3.450000,3.450000,2693000
2023-10-24,3.500000,3.875000,3.500000,3.670000,3.670000,2966900
2023-10-25,3.670000,3.700000,3.490000,3.500000,3.500000,1622800
2023-10-26,3.525000,3.630000,3.435000,3.540000,3.540000,1461900
2023-10-27,3.540000,3.550000,3.185000,3.200000,3.200000,1951700
2023-10-30,3.270000,3.350000,3.070000,3.070000,3.070000,1319100
2023-10-31,3.080000,3.470000,3.060000,3.380000,3.380000,2417500
2023-11-01,3.350000,3.360000,3.010000,3.110000,3.110000,2495400
2023-11-02,3.220000,3.490000,3.220000,3.480000,3.480000,1703600
2023-11-03,3.600000,3.650000,3.370000,3.450000,3.450000,2033800
2023-11-06,3.530000,3.540000,3.080000,3.260000,3.260000,2334000
2023-11-07,3.270000,3.310000,3.140000,3.210000,3.210000,1229900
2023-11-08,3.260000,3.260000,3.070000,3.100000,3.100000,2405000
2023-11-09,2.160000,2.180000,1.810000,2.080000,2.080000,7414200
2023-11-10,2.180000,2.180000,1.820000,2.090000,2.090000,4330300
2023-11-13,2.070000,2.310000,2.000000,2.310000,2.310000,3673100
2023-11-14,2.410000,2.470000,2.200000,2.450000,2.450000,3579600
2023-11-15,2.530000,2.795000,2.510000,2.680000,2.680000,3197100
2023-11-16,2.760000,2.790000,2.290000,2.310000,2.310000,3212700
2023-11-17,2.380000,2.510000,2.260000,2.500000,2.500000,2246300
2023-11-20,2.700000,2.710000,2.520000,2.560000,2.560000,2263200
2023-11-21,2.590000,2.590000,2.400000,2.480000,2.480000,1884200
2023-11-22,2.510000,2.600000,2.470000,2.570000,2.570000,1258900
2023-11-24,2.580000,2.870000,2.570000,2.830000,2.830000,1376800
2023-11-27,2.860000,2.930000,2.740000,2.790000,2.790000,1474700
2023-11-28,2.740000,2.760000,2.590000,2.670000,2.670000,1321000
2023-11-29,2.740000,2.840000,2.730000,2.760000,2.760000,1367100
2023-11-30,2.830000,2.840000,2.690000,2.770000,2.770000,1446300
2023-12-01,2.780000,3.170000,2.690000,3.040000,3.040000,1950600
2023-12-04,3.070000,3.210000,3.055000,3.150000,3.150000,1881200
2023-12-05,3.200000,3.219000,3.020000,3.080000,3.080000,1271900
2023-12-06,3.140000,3.290000,3.095000,3.110000,3.110000,1955400
2023-12-07,3.150000,3.150000,2.975000,3.140000,3.140000,1196500
2023-12-08,3.170000,3.480000,3.130000,3.230000,3.230000,1945800
2023-12-11,3.240000,3.240000,3.065000,3.090000,3.090000,1166300
2023-12-12,3.120000,3.150000,2.810000,2.840000,2.840000,2225100
2023-12-13,2.880000,3.190000,2.840000,3.190000,3.190000,1644000
2023-12-14,3.380000,3.740000,3.375000,3.480000,3.480000,3138500
2023-12-15,3.690000,3.760000,3.500000,3.540000,3.540000,2009900
2023-12-18,3.560000,3.650000,3.370000,3.400000,3.400000,1805100
2023-12-19,3.410000,3.665000,3.410000,3.600000,3.600000,1625400
2023-12-20,3.590000,3.600000,3.280000,3.290000,3.290000,1667400
2023-12-21,3.370000,3.450000,3.180000,3.280000,3.280000,1548700
2023-12-22,3.300000,3.450000,3.270000,3.280000,3.280000,1353500
2023-12-26,3.280000,3.445000,3.260000,3.370000,3.370000,1401600
2023-12-27,3.390000,3.500000,3.355000,3.400000,3.400000,1204100
2023-12-28,3.430000,3.431000,3.270000,3.360000,3.360000,1654300
2023-12-29,3.340000,3.350000,3.200000,3.290000,3.290000,1771400
2024-01-02,3.240000,3.420000,3.140000,3.140000,3.140000,1424300
2024-01-03,3.040000,3.070000,2.870000,2.880000,2.880000,2455600
2024-01-04,2.900000,2.940000,2.785000,2.860000,2.860000,1644700
2024-01-05,2.850000,2.890000,2.585000,2.620000,2.620000,2302000
2024-01-08,2.670000,2.670000,2.480000,2.580000,2.580000,2342500
2024-01-09,2.510000,2.550000,2.385000,2.470000,2.470000,2483800
2024-01-10,2.460000,2.630000,2.440000,2.530000,2.530000,2522000
2024-01-11,2.560000,2.600000,2.330000,2.340000,2.340000,2511400
2024-01-12,2.400000,2.500000,2.340000,2.350000,2.350000,1966300
2024-01-16,2.350000,2.365000,2.110000,2.170000,2.170000,2122800
2024-01-17,2.170000,2.170000,2.010000,2.040000,2.040000,1331600
2024-01-18,2.070000,2.070000,1.880000,1.920000,1.920000,2863800
2024-01-19,1.990000,2.020000,1.920000,1.990000,1.990000,1906500
2024-01-22,2.030000,2.190000,2.010000,2.180000,2.180000,1687000
2024-01-23,2.230000,2.390000,2.230000,2.340000,2.340000,1891700
2024-01-24,2.500000,2.510000,2.250000,2.270000,2.270000,1879000
2024-01-25,2.390000,2.530000,2.390000,2.520000,2.520000,1688900
2024-01-26,2.560000,2.780000,2.520000,2.750000,2.750000,2931500
2024-01-29,2.820000,3.000000,2.680000,2.980000,2.980000,2921200
2024-01-30,2.950000,3.065000,2.830000,2.930000,2.930000,1832700
2024-01-31,2.920000,3.220000,2.860000,2.890000,2.890000,2780200
2024-02-01,3.050000,3.140000,2.809000,3.080000,3.080000,1862100
2024-02-02,3.020000,3.190000,2.978000,3.150000,3.150000,1429800
2024-02-05,3.110000,3.130000,2.890000,2.950000,2.950000,1411100
